"filename", "language", "SCSS", "JavaScript", "PostCSS", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"/Users/Szymon_Chwila/Desktop/Projekt/karate-app/src/context/sections/SectionsContext.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 5, 23
"/Users/Szymon_Chwila/Desktop/Projekt/karate-app/src/context/sections/SectionsReducer.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 2, 11
"/Users/Szymon_Chwila/Desktop/Projekt/karate-app/src/index.js", "JavaScript", 0, 12, 0, 0, 0, 0, 3, 3, 18
"/Users/Szymon_Chwila/Desktop/Projekt/karate-app/src/index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 12, 2, 14
"/Users/Szymon_Chwila/Desktop/Projekt/karate-app/src/lib/sass/breakpoints.scss", "SCSS", 6, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/Szymon_Chwila/Desktop/Projekt/karate-app/src/lib/sass/reset.scss", "SCSS", 42, 0, 0, 0, 0, 0, 1, 0, 43
"/Users/Szymon_Chwila/Desktop/Projekt/karate-app/src/lib/sass/styles.scss", "SCSS", 4, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/Szymon_Chwila/Desktop/Projekt/karate-app/src/lib/sass/variables.scss", "SCSS", 23, 0, 0, 0, 0, 0, 0, 3, 26
"/Users/Szymon_Chwila/Desktop/Projekt/karate-app/src/pages/AdminPanel/AdminPanel.js", "JavaScript", 0, 60, 0, 0, 0, 0, 0, 3, 63
"/Users/Szymon_Chwila/Desktop/Projekt/karate-app/src/pages/AdminPanel/AdminPanel.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 2, 2
"/Users/Szymon_Chwila/Desktop/Projekt/karate-app/src/pages/AdminPanel/Button/Button.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 3, 9
"/Users/Szymon_Chwila/Desktop/Projekt/karate-app/src/pages/AdminPanel/Button/Button.scss", "SCSS", 26, 0, 0, 0, 0, 0, 0, 4, 30
"/Users/Szymon_Chwila/Desktop/Projekt/karate-app/src/pages/AdminPanel/Calendar/Calendar.js", "JavaScript", 0, 115, 0, 0, 0, 0, 0, 7, 122
"/Users/Szymon_Chwila/Desktop/Projekt/karate-app/src/pages/AdminPanel/Calendar/Calendar.scss", "SCSS", 125, 0, 0, 0, 0, 0, 0, 24, 149
"/Users/Szymon_Chwila/Desktop/Projekt/karate-app/src/pages/AdminPanel/Calendar/NewEvent.js", "JavaScript", 0, 49, 0, 0, 0, 0, 0, 6, 55
